x,approx,true,0
1,0,0
0.998795,-0.00957272,-0.00957272
0.995185,-0.0375153,-0.0375153
0.989177,-0.0815827,-0.0815827
0.980785,-0.138296,-0.138296
0.970031,-0.203299,-0.203299
0.95694,-0.27179,-0.27179
0.941544,-0.338977,-0.338977
0.92388,-0.400496,-0.400496
0.903989,-0.452751,-0.452751
0.881921,-0.493144,-0.493144
0.857729,-0.520173,-0.520173
0.83147,-0.533412,-0.533412
0.803208,-0.533385,-0.533385
0.77301,-0.521363,-0.521363
0.740951,-0.499132,-0.499132
0.707107,-0.46875,-0.46875
0.671559,-0.432334,-0.432334
0.634393,-0.391897,-0.391897
0.595699,-0.349231,-0.349231
0.55557,-0.305857,-0.305857
0.514103,-0.263012,-0.263012
0.471397,-0.221673,-0.221673
0.427555,-0.182599,-0.182599
0.382683,-0.146379,-0.146379
0.33689,-0.113476,-0.113476
0.290285,-0.0842609,-0.0842609
0.24298,-0.0590387,-0.0590387
0.19509,-0.0380602,-0.0380602
0.14673,-0.0215298,-0.0215298
0.0980171,-0.00960736,-0.00960736
0.0490677,-0.00240764,-0.00240764
6.12323e-17,4.54516e-14,-3.7494e-33
-0.0490677,-0.00240764,-0.00240764
-0.0980171,-0.00960736,-0.00960736
-0.14673,-0.0215298,-0.0215298
-0.19509,-0.0380602,-0.0380602
-0.24298,-0.0590387,-0.0590387
-0.290285,-0.0842609,-0.0842609
-0.33689,-0.113476,-0.113476
-0.382683,-0.146379,-0.146379
-0.427555,-0.182599,-0.182599
-0.471397,-0.221673,-0.221673
-0.514103,-0.263012,-0.263012
-0.55557,-0.305857,-0.305857
-0.595699,-0.349231,-0.349231
-0.634393,-0.391897,-0.391897
-0.671559,-0.432334,-0.432334
-0.707107,-0.46875,-0.46875
-0.740951,-0.499132,-0.499132
-0.77301,-0.521363,-0.521363
-0.803208,-0.533385,-0.533385
-0.83147,-0.533412,-0.533412
-0.857729,-0.520173,-0.520173
-0.881921,-0.493144,-0.493144
-0.903989,-0.452751,-0.452751
-0.92388,-0.400496,-0.400496
-0.941544,-0.338977,-0.338977
-0.95694,-0.27179,-0.27179
-0.970031,-0.203299,-0.203299
-0.980785,-0.138296,-0.138296
-0.989177,-0.0815827,-0.0815827
-0.995185,-0.0375153,-0.0375153
-0.998795,-0.00957272,-0.00957272
-1,0,0
